Item,BadAvgCost,ProposedCost,Note
20420469,1106.1400,1106.1400,use last receipt cost
2620P3,1100.0000,516.0000,use last receipt cost
17122953,1099.2600,1099.2600,use last receipt cost
MFA74273,1099.0000,1099.0000,use last receipt cost
F42X24DWREDTEE,1098.6600,10000338.0000,use last receipt cost
RMT-1000E-1P,1096.0500,.0000,NO LAST COST - manual
17104985,1095.8400,1095.8400,use last receipt cost
17105016,1095.8400,1095.8400,use last receipt cost
SOC94689-000,1094.6000,1094.6000,use last receipt cost
D25960K,1090.3100,1090.3100,use last receipt cost
12740262,1088.1600,1088.1600,use last receipt cost
08213209,1086.7500,1086.7500,use last receipt cost
SOC73187-002,1084.2000,1084.2000,use last receipt cost
SOC80129-000,1084.2000,1084.2000,use last receipt cost
10201234,1081.8500,1081.8500,use last receipt cost
SOP32522-002,1075.7400,1075.7400,use last receipt cost
SOC46719-002,1075.7400,1075.7400,use last receipt cost
DW080LRS,1075.0700,1075.0700,use last receipt cost
SOP36946-001,1073.7000,1073.7000,use last receipt cost
RMT-1000E-1,1072.5400,.0000,NO LAST COST - manual
29611092,1070.7900,1070.7900,use last receipt cost
17108101,1067.4300,1067.4300,use last receipt cost
17108119,1067.4300,1067.4300,use last receipt cost
17123662,1067.4300,1067.4300,use last receipt cost
17123688,1067.4300,1067.4300,use last receipt cost
F48X24DWREDWYE,1065.6400,10000457.0000,use last receipt cost
48X24DWREDWYEBE,1065.6400,10000523.0000,use last receipt cost
DWB48X20SB,1065.2000,1065.2000,use last receipt cost
SOC01236-001,1063.6800,1063.6800,use last receipt cost
48-36-1060,1061.5000,1199.9900,use last receipt cost
SOP03558-001,1060.5000,1060.5000,use last receipt cost
DFA400T,1060.0000,1060.0000,use last receipt cost
SOC77752-000,1059.5000,1059.5000,use last receipt cost
SOP12966-000,1058.0000,1048.0000,use last receipt cost
08213274,1057.5800,1057.5800,use last receipt cost
SOC87552-001,1056.6600,1056.6600,use last receipt cost
DCH735X2,1055.8400,1055.8400,use last receipt cost
SOC67964-000,1055.0000,1055.0000,use last receipt cost
F48DWTEE,1054.6300,10000394.0000,use last receipt cost
F48DWTEEBE,1054.6300,10000382.0000,use last receipt cost
SOC19651-002,1050.0000,1050.0000,use last receipt cost
SOC46765-005,1050.0000,1050.0000,use last receipt cost
SOP17924-000,1050.0000,1050.0000,use last receipt cost
DCH773Y2,1049.5500,1049.5500,use last receipt cost
34A,1048.2750,1056.5625,use last receipt cost
10201390,1045.8900,1045.8900,use last receipt cost
SOC75953-003,1044.4900,1044.4900,use last receipt cost
SOP53396-000,1044.0000,1044.0000,use last receipt cost
29610136,1043.5600,1043.5600,use last receipt cost
DWST24192,1041.7300,1041.7300,use last receipt cost
