Account|DocYYMM|SalesTax|Taxable|NonTax|Exempt
1000106|2006|65.1600|1086.1100|250.0000|.0000
1000186|2101|1.5400|25.5600|.0000|.0000
1000083|2210|23.8100|396.7800|.0000|.0000
1000166|2308|135.6400|2260.8400|.0000|.0000
1000054|2406|2.4600|41.0400|.0000|.0000
10000201|2411|379.3300|6322.1100|.0000|.0000
1000155|2606|3.4600|57.6900|.0000|.0000
1000208|2312|.4300|7.3000|.0000|.0000
1000267|2411|15.7300|262.1000|.0000|.0000
1000076|2403|.0000|49557.8000|.0000|49557.8000
CLAYHAWKI|2107|4.2300|70.5000|.0000|.0000
DAVID HALL|2210|1.0500|17.4900|.0000|.0000
1000090|2305|676.6900|11278.1000|.0000|.0000
1000257|2510|1.2300|20.4200|.0000|.0000
1000099|2408|2.8100|46.6900|.0000|.0000
1000081|2210|13.6600|227.7500|.0000|.0000
TIMMARTIN|2106|165.3600|2755.9300|.0000|.0000
1000199|2504|.0000|784.7400|.0000|784.7400
1000230|2405|1.0300|17.0900|.0000|.0000
1000043|2311|206.9100|3448.3800|.0000|.0000
1000031|2506|4.9300|82.0400|.0000|.0000
1000046|2601|59.6200|993.7500|.0000|.0000
1000170|2209|.6300|10.5200|.0000|.0000
1000246|2506|12.6900|211.5700|.0000|.0000
BRIANBASH|2105|96.0000|1600.0000|.0000|.0000
1000222|2403|10.2800|171.3000|.0000|.0000
1000124|2210|50.9000|848.2800|.0000|.0000
1000124|2404|37.9800|633.0100|.0000|.0000
1000089|2308|40.6000|676.8500|.0000|.0000
1000081|2404|13.9900|233.0300|.0000|.0000
ANDYTANNER|2212|.1000|1.7000|.0000|.0000
1000109|2302|11.9800|199.6500|.0000|.0000
1000088|2312|555.6700|9260.9300|.0000|.0000
1000284|2207|221.4700|3691.2800|.0000|.0000
|2302|.0000|.0000|.0000|.0000
1000081|2410|4.5900|76.4600|.0000|.0000
1000279|2503|.3900|6.4800|.0000|.0000
1000156|2310|.0000|110.0000|.0000|110.0000
1000083|2404|7.8700|131.1200|.0000|.0000
1000124|2108|1283.6700|21394.7200|.0000|.0000
1000210|2603|1.3100|21.8300|.0000|.0000
1000100|2505|63.9300|1065.6800|.0000|.0000
1000214|2310|145.9100|2431.8300|2200.0000|.0000
1000273|2507|1.4600|24.4100|-2.4400|.0000
BRIANBASH|2103|97.7400|1629.0700|.0000|.0000
1000005|2406|.0000|774.1800|.0000|774.1800
